team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
OTT,2023,OTT,2023020566,OTT,BUF,HOME,20231231,Team Level,all,0.559,0.4173,0.4043,3600.0,28.028,3.544,1.698,6.227,0.943,13.732,11.855,3.449,3.582,3.486,31.0,7.0,15.0,53.0,5.0,3.0,0.0,6.0,0.0,9.0,15.0,26.0,33.0,5.0,10.0,31.0,24.0,7.0,14.0,23.0,9.0,6.0,0.641,1.105,1.798,1.0,3.0,1.0,55.862,38.0,39.251,7.0,0.369,0.771,0.771,3.142,3.18,3.16,41.489,2.796,2.634,11.225,1.33,21.693,16.321,2.754,2.78,2.738,46.0,10.0,18.0,74.0,1.0,6.0,0.0,14.0,0.0,18.0,17.0,45.0,55.0,3.0,6.0,31.0,33.0,6.0,13.0,49.0,4.0,3.0,1.207,0.499,1.091,0.0,1.0,0.0,70.489,56.0,54.465,7.0,0.599,0.817,0.817,2.579,2.555,2.533,0
NYR,2009,NYR,2009020039,NYR,WSH,AWAY,20091008,Team Level,all,0.6038,0.4138,0.4651,3600.0,29.94,3.862,2.076,6.206,0.863,15.239,11.755,3.707,4.021,3.858,29.0,11.0,8.0,48.0,4.0,3.0,0.0,8.0,0.0,13.0,12.0,25.0,36.0,8.0,16.0,25.0,16.0,13.0,11.0,25.0,10.0,5.0,0.689,1.274,1.899,1.0,2.0,1.0,49.59,40.0,41.346,7.0,0.456,0.949,0.949,3.368,3.484,3.445,32.86,2.534,2.421,7.018,0.959,20.445,12.624,2.494,2.483,2.443,28.0,18.0,22.0,68.0,3.0,0.0,0.0,8.0,2.0,19.0,14.0,25.0,43.0,4.0,8.0,36.0,22.0,15.0,17.0,35.0,11.0,0.0,1.319,1.215,0.0,1.0,2.0,0.0,66.425,46.0,45.409,10.0,0.562,0.0,0.0,3.096,3.036,2.987,0
CAR,2012,CAR,2012020615,CAR,BOS,HOME,20130413,Team Level,5on5,0.5655,0.5221,0.5465,3024.0,34.917,2.935,2.328,8.307,1.175,18.935,13.32,2.864,2.789,2.722,29.0,18.0,12.0,59.0,1.0,6.0,0.0,3.0,1.0,17.0,19.0,28.0,46.0,4.0,17.0,24.0,29.0,11.0,5.0,35.0,10.0,2.0,1.05,1.26,0.625,1.0,0.0,0.0,57.19,47.0,45.864,3.0,0.477,0.833,0.833,2.58,2.462,2.44,28.437,2.255,1.753,6.613,0.902,15.469,12.007,2.165,2.341,2.247,21.0,18.0,15.0,54.0,2.0,2.0,0.0,5.0,1.0,15.0,14.0,19.0,37.0,6.0,21.0,28.0,14.0,2.0,6.0,28.0,9.0,2.0,0.765,1.068,0.422,0.0,2.0,0.0,55.256,39.0,39.678,4.0,0.358,0.245,0.245,2.368,2.456,2.378,0
DET,2009,DET,2009020720,DET,CHI,HOME,20100117,Team Level,all,0.5582,0.536,0.5313,3900.0,36.331,3.417,2.387,8.007,1.111,20.462,15.616,3.34,3.269,3.194,38.0,13.0,16.0,67.0,3.0,0.0,0.0,9.0,2.0,21.0,16.0,35.0,48.0,5.0,13.0,26.0,35.0,11.0,8.0,36.0,13.0,2.0,1.097,1.72,0.601,2.0,1.0,0.0,64.127,51.0,48.919,6.0,0.519,0.0,0.0,3.936,3.768,3.675,32.354,2.705,2.151,6.777,0.976,18.093,14.298,2.666,2.847,2.806,29.0,16.0,13.0,58.0,3.0,0.0,0.0,7.0,0.0,15.0,20.0,26.0,42.0,4.0,11.0,34.0,20.0,11.0,7.0,31.0,12.0,2.0,0.733,1.321,0.65,0.0,2.0,1.0,61.161,45.0,47.486,5.0,0.475,0.0,0.0,3.179,3.345,3.296,0
CHI,2020,CHI,2020020099,CHI,NSH,AWAY,20210126,Team Level,5on4,1.0,1.0,1.0,122.0,1.722,0.887,0.067,0.212,0.029,0.492,0.313,0.882,0.887,0.882,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.006,0.0,0.881,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.022,0.881,0.881,0.027,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
COL,2009,COL,2009020543,COL,ANA,HOME,20091222,Team Level,5on5,0.3683,0.3333,0.3731,2871.0,17.283,1.376,1.181,3.894,0.593,9.963,7.993,1.37,1.372,1.366,15.0,10.0,3.0,28.0,2.0,0.0,0.0,7.0,0.0,6.0,10.0,13.0,23.0,4.0,11.0,28.0,11.0,10.0,9.0,20.0,4.0,1.0,0.674,0.47,0.232,1.0,1.0,0.0,28.648,25.0,25.729,4.0,0.241,0.0,0.0,1.617,1.612,1.604,29.635,2.36,2.014,6.625,0.967,17.262,12.772,2.313,2.384,2.337,33.0,9.0,14.0,56.0,3.0,3.0,0.0,10.0,2.0,13.0,11.0,30.0,39.0,4.0,11.0,20.0,20.0,2.0,6.0,33.0,7.0,2.0,1.047,0.887,0.426,1.0,2.0,0.0,54.89,42.0,41.096,1.0,0.414,0.487,0.487,2.287,2.315,2.277,0
ANA,2022,ANA,2022021024,ANA,VAN,AWAY,20230308,Team Level,5on5,0.3389,0.419,0.3797,3452.0,21.706,1.198,1.357,5.29,0.673,11.677,9.805,1.18,1.275,1.256,21.0,9.0,14.0,44.0,2.0,1.0,1.0,6.0,1.0,7.0,13.0,19.0,28.0,0.0,0.0,18.0,12.0,3.0,3.0,25.0,4.0,1.0,0.478,0.434,0.285,0.0,1.0,1.0,46.004,30.0,31.272,3.0,0.281,0.285,0.285,1.193,1.274,1.26,32.163,2.337,2.365,7.416,1.132,21.195,14.555,2.305,2.224,2.194,32.0,17.0,12.0,61.0,1.0,2.0,0.0,9.0,2.0,15.0,20.0,31.0,48.0,1.0,2.0,23.0,21.0,4.0,1.0,38.0,10.0,1.0,1.013,0.996,0.327,0.0,1.0,0.0,58.621,49.0,47.163,0.0,0.48,0.337,0.337,2.479,2.358,2.326,0
DET,2023,DET,2023020519,DET,NJD,AWAY,20231223,Team Level,5on5,0.3629,0.4133,0.3898,2627.0,16.885,1.067,0.958,4.245,0.56,8.877,7.292,1.053,1.144,1.129,16.0,7.0,8.0,31.0,2.0,0.0,0.0,4.0,1.0,5.0,11.0,14.0,21.0,3.0,6.0,18.0,11.0,4.0,3.0,18.0,5.0,0.0,0.46,0.607,0.0,1.0,1.0,0.0,32.801,23.0,24.268,2.0,0.195,0.0,0.0,1.262,1.353,1.334,26.516,1.873,1.613,6.663,0.814,14.427,10.609,1.819,1.775,1.724,22.0,14.0,8.0,44.0,3.0,1.0,0.0,4.0,1.0,12.0,15.0,19.0,33.0,3.0,6.0,17.0,16.0,3.0,1.0,30.0,5.0,1.0,0.835,0.684,0.354,1.0,2.0,0.0,41.857,36.0,34.44,0.0,0.331,0.354,0.354,1.85,1.749,1.713,0
S.J,2008,S.J,2008030151,S.J,ANA,HOME,20090416,Team Level,5on5,0.5802,0.5231,0.5217,2444.0,16.947,1.465,1.124,3.853,0.546,10.023,6.99,1.405,1.389,1.333,20.0,4.0,10.0,34.0,0.0,2.0,0.0,5.0,1.0,4.0,12.0,20.0,24.0,4.0,8.0,12.0,32.0,7.0,17.0,19.0,4.0,1.0,0.544,0.573,0.347,0.0,0.0,0.0,32.54,24.0,22.87,4.0,0.227,0.41,0.41,1.282,1.213,1.204,15.004,1.06,0.938,3.58,0.515,8.845,7.062,1.054,1.127,1.12,12.0,10.0,9.0,31.0,1.0,0.0,0.0,5.0,0.0,9.0,7.0,11.0,21.0,5.0,10.0,19.0,26.0,4.0,11.0,19.0,3.0,0.0,0.717,0.343,0.0,1.0,0.0,0.0,32.682,22.0,23.136,4.0,0.193,0.0,0.0,1.254,1.332,1.324,1
BUF,2019,BUF,2019020575,BUF,OTT,AWAY,20191223,Team Level,all,0.5256,0.5909,0.6105,3600.0,40.484,3.308,2.864,9.269,1.288,25.07,16.201,3.176,3.366,3.233,44.0,14.0,20.0,78.0,1.0,2.0,0.0,14.0,1.0,21.0,19.0,43.0,57.0,2.0,4.0,30.0,22.0,5.0,9.0,47.0,9.0,2.0,1.59,1.053,0.666,0.0,1.0,0.0,78.142,58.0,57.936,4.0,0.636,0.261,0.261,3.683,3.749,3.622,25.458,2.986,1.874,5.861,0.896,14.825,10.558,2.884,2.94,2.839,30.0,7.0,17.0,54.0,3.0,1.0,1.0,6.0,0.0,14.0,13.0,27.0,34.0,2.0,4.0,32.0,30.0,7.0,14.0,26.0,7.0,4.0,0.637,0.969,1.38,0.0,1.0,2.0,53.516,37.0,37.011,12.0,0.418,0.209,0.209,3.195,3.142,3.026,0
